Rating,Return One year,Risk One year,Return Three year,Risk Three year,Return Five year,Risk Five year,Sharpe One year,Sharpe Three year,Sharpe Five year
Prosper AA,0.045919337,0.01230221,0.063713462,0.014183278,0.088801957,0.015927571,3.732608775,4.492153506,5.575360926
Prosper A,0.067852045,0.028434944,0.093688498,0.030206461,0.113625926,0.032406965,2.386220455,3.101604587,3.506219296
Prosper B,0.106884494,0.054387658,0.13110961,0.052470927,0.145629458,0.051931613,1.965234355,2.498709619,2.804254472
Prosper C,0.13706553,0.078289773,0.163983023,0.075881505,0.180010378,0.076425266,1.750746295,2.161040731,2.355377841
Prosper D,0.190200339,0.106881356,0.208228478,0.10608245,0.22571764,0.104889528,1.779546463,1.962892806,2.151955913
Prosper E,0.224202431,0.139967014,0.250954787,0.140087351,0.262296019,0.137274551,1.601823348,1.791416464,1.910740316
Prosper HR,NaN,NaN,0.253892695,0.173334102,NaN,NaN,NaN,1.464759052,NaN
SPY,NaN,NaN,0.113,0.1094,0.1091,0.1198,NaN,1.032906764,0.910684474
WAAEX,NaN,NaN,0.0299,0.1384,0.0556,0.143,NaN,0.216040462,0.388811189
FCNTX,NaN,NaN,0.108,0.1102,0.0947,0.1199,NaN,0.980036298,0.789824854
MSIQX,NaN,NaN,0.009,0.1206,0.0177,0.1411,NaN,0.074626866,0.125442948
VCVSX,NaN,NaN,0.0234,0.073,0.0269,0.0899,NaN,0.320547945,0.299221357
RECTX,NaN,NaN,0.0608,0.0675,0.0639,0.0771,NaN,0.900740741,0.828793774
